% 1. Title: 2015 NCAA Basketball Season
%
% 2. Sources:
%      (a) Creator: Reed Wilson
%      (b) Date: March 9, 2015

@relation 2015

@attribute location                           { h, a, n }
@attribute points_for                         real
@attribute points_against                     real
@attribute field_goal_percent                 real
@attribute free_throw_percent                 real
@attribute three_point_percent                real
@attribute efficient_field_goal_percent       real
@attribute points_per_weighted_shot           real
@attribute turnover_rate                      real
@attribute blocks                             real
@attribute fouls                              real
@attribute offensive_rebounds                 real
@attribute total_rebounds                     real
@attribute steals                             real
@attribute assists                            real
@attribute possessions                        real
@attribute offensive_points_per_possession    real
@attribute defensive_points_per_possession    real
@attribute outcome                            { w, l }

@data
a,64,101,35.6,69.6,24.0,40.7,0.92,18.0,0,26,6,20,7,9,78,0.82,1.29,l
a,63,83,41.0,47.4,25.0,44.3,0.90,18.6,4,13,13,32,5,12,70,0.90,1.20,l
a,61,87,39.6,63.6,25.0,44.3,0.96,21.0,1,17,7,28,4,15,71,0.85,1.26,l
a,61,65,43.5,82.4,36.8,51.1,1.13,17.4,0,8,2,24,4,13,63,0.97,1.05,l
a,60,70,39.2,69.6,26.7,43.1,0.97,18.9,0,20,6,27,8,8,69,0.87,1.03,l
h,59,56,39.5,75.0,36.4,44.2,1.05,19.0,1,12,5,27,6,14,63,0.93,0.90,w
a,56,72,38.3,50.0,31.6,43.3,0.88,16.0,1,19,6,26,5,14,69,0.81,1.13,l
a,54,74,34.5,61.5,28.6,41.8,0.88,27.5,3,13,11,35,5,10,69,0.78,1.05,l
a,85,75,56.4,72.7,53.8,62.7,1.30,16.3,1,16,4,25,4,15,73,1.16,1.06,w
h,83,50,50.0,65.4,30.0,55.0,1.15,19.6,1,20,15,47,5,20,71,1.16,0.00,w
h,78,62,44.2,67.6,45.0,52.9,1.14,14.3,5,18,14,42,2,16,63,1.24,0.95,w
h,77,55,55.2,50.0,31.6,60.3,1.19,24.5,6,9,6,44,4,19,78,0.99,0.00,w
h,74,69,51.2,64.0,56.0,67.4,1.35,18.7,4,20,7,30,2,18,59,1.26,1.09,w
h,74,83,42.1,82.6,33.3,48.2,1.09,9.8,1,19,13,33,2,15,61,1.22,1.30,l
h,72,49,54.9,77.8,39.1,63.7,1.30,17.5,1,17,8,32,5,17,57,1.26,0.87,w
a,72,54,56.2,68.4,31.2,61.5,1.26,15.0,3,18,6,27,8,17,60,1.20,0.83,w
h,70,52,37.0,78.6,34.8,44.4,1.04,14.7,2,20,15,36,5,16,61,1.14,0.84,w
a,69,72,43.9,83.3,47.4,51.8,1.10,18.1,3,19,13,29,5,13,61,1.14,1.18,l
a,61,73,36.2,85.7,25.0,39.4,1.01,19.6,1,18,7,32,7,9,66,0.92,1.10,l
a,60,68,45.1,60.0,16.7,47.1,0.99,19.8,1,20,8,25,5,11,66,0.92,1.11,l
a,60,57,50.0,66.7,42.9,56.8,1.17,18.9,5,19,4,30,1,16,58,1.03,1.01,w
h,60,52,39.5,68.6,22.2,41.9,1.01,25.5,3,20,10,34,6,8,67,0.90,0.77,w
h,59,66,41.4,50.0,26.9,47.4,0.95,21.9,6,19,12,36,2,19,64,0.93,1.02,l
a,57,83,38.9,64.3,27.3,44.4,0.94,11.2,0,15,5,21,1,11,63,0.91,1.43,l
a,56,87,36.2,66.7,46.2,42.6,0.96,24.9,2,29,4,19,1,11,72,0.77,1.19,l
a,56,65,39.6,64.7,15.8,42.5,0.92,21.2,3,18,9,29,9,12,66,0.85,1.04,l
h,51,47,36.7,84.6,18.2,40.8,0.92,26.2,2,18,10,35,10,12,61,0.83,0.73,w
a,50,75,35.2,60.0,46.2,40.7,0.85,14.8,3,8,7,22,4,12,61,0.82,1.22,l
a,50,69,36.0,63.6,29.2,43.0,0.91,17.7,2,16,4,24,5,14,62,0.80,1.12,l
h,49,74,32.7,72.7,18.5,37.3,0.81,22.5,1,16,12,27,7,14,62,0.79,1.23,l
h,47,50,29.4,60.0,31.2,34.3,0.78,14.2,0,19,6,38,4,10,64,0.74,0.78,l
a,46,79,29.3,50.0,29.6,36.2,0.74,20.3,2,18,3,28,3,10,74,0.62,1.06,l
a,44,69,34.0,100.0,26.7,38.0,0.83,22.1,0,12,7,24,5,11,59,0.75,1.23,l
a,44,65,32.7,60.0,19.0,36.5,0.78,30.4,3,17,11,27,5,10,66,0.67,0.98,l
a,43,64,29.4,69.2,21.1,33.3,0.75,25.3,0,9,10,29,6,10,63,0.68,1.00,l
h,38,51,28.6,90.0,6.2,29.6,0.71,17.9,4,14,8,23,4,11,56,0.68,0.93,l
a,33,53,27.3,69.2,0.0,27.3,0.66,22.7,4,17,6,28,4,4,57,0.58,0.95,l
a,89,85,43.5,71.8,38.9,49.2,1.11,22.0,1,25,13,41,8,14,87,1.03,1.01,w
a,80,102,46.4,80.0,29.6,52.2,1.08,14.5,4,26,9,30,3,15,76,1.06,1.36,l
h,80,69,54.4,55.0,36.8,60.5,1.20,20.4,3,22,8,41,6,17,74,1.09,0.91,w
h,78,48,57.1,69.2,29.4,61.6,1.25,22.2,5,21,6,34,10,12,72,1.08,0.00,w
h,78,80,47.1,62.9,50.0,54.9,1.15,15.4,7,17,7,33,4,13,72,1.09,1.07,l
h,78,88,43.3,81.8,38.1,50.0,1.11,17.8,3,24,6,27,6,16,78,0.99,1.14,l
h,78,80,41.5,73.7,43.5,49.2,1.05,19.5,0,20,12,35,9,13,77,1.01,1.03,l
h,76,39,47.3,63.0,38.9,53.6,1.12,17.4,6,18,11,35,13,12,69,1.10,0.00,w
n,75,68,38.5,72.7,40.9,45.4,0.99,8.4,0,20,10,35,5,14,71,1.05,0.93,w
h,75,82,47.3,65.5,23.5,50.9,1.09,12.0,1,25,3,22,8,11,75,1.00,1.13,l
h,75,85,46.6,66.7,33.3,52.6,1.10,6.0,3,21,5,23,5,13,67,1.12,1.18,l
a,72,74,54.0,55.2,40.0,56.0,1.13,20.4,3,27,9,29,10,10,69,1.05,1.06,l
a,71,63,48.9,65.5,35.3,55.3,1.17,22.0,4,21,4,25,8,13,73,0.98,0.84,w
a,71,72,43.3,64.7,29.6,50.0,1.04,10.4,2,18,8,28,5,12,67,1.06,1.04,l
a,70,80,38.2,66.7,37.0,45.6,0.95,15.1,3,22,12,36,2,16,73,0.96,1.06,l
a,67,60,47.6,85.2,36.4,52.4,1.22,23.9,2,26,4,28,9,12,67,1.00,0.88,w
a,66,74,45.1,87.5,27.3,51.0,1.13,18.9,4,18,7,25,3,13,64,1.04,1.19,l
h,65,71,43.4,77.8,31.2,48.1,1.06,19.5,6,22,8,32,8,10,67,0.98,1.02,l
a,63,62,53.2,55.6,21.4,56.4,1.13,17.3,3,16,3,19,9,8,64,0.99,0.97,w
a,63,88,31.0,68.8,27.8,35.3,0.86,10.8,5,24,7,33,1,10,74,0.85,1.24,l
a,63,74,46.5,70.8,31.6,53.5,1.16,22.6,0,23,3,15,10,11,66,0.95,1.13,l
h,61,63,51.1,73.3,20.0,53.2,1.13,14.5,3,16,1,19,7,13,62,0.98,1.07,l
h,61,65,43.5,63.6,31.8,51.1,1.08,22.4,4,16,8,28,3,11,62,0.98,1.04,l
n,60,78,35.8,70.8,26.3,40.6,0.93,19.0,3,18,9,32,5,6,68,0.88,1.14,l
h,60,67,41.0,75.0,25.0,44.3,0.93,10.8,4,19,7,30,4,15,65,0.93,0.99,l
a,56,92,35.3,63.6,37.5,41.2,0.91,31.0,3,22,8,28,3,13,77,0.72,1.23,l
a,54,67,39.6,45.5,41.2,46.2,0.93,19.6,3,19,5,26,8,11,66,0.82,1.01,l
a,53,90,32.8,66.7,31.2,37.1,0.81,14.1,1,29,4,17,9,8,71,0.75,1.30,l
a,52,64,35.6,61.9,36.8,43.3,0.95,21.2,5,25,3,24,5,4,66,0.79,0.96,l
a,42,71,33.3,54.5,15.4,35.3,0.75,13.7,3,20,6,21,3,7,58,0.72,1.18,l
h,103,74,55.6,70.6,50.0,62.7,1.30,12.2,2,22,7,38,9,29,82,1.25,0.91,w
h,89,86,54.7,71.9,57.1,62.3,1.30,15.0,1,18,6,28,2,24,73,1.22,1.20,w
a,86,74,56.9,90.5,50.0,65.7,1.41,23.6,4,21,6,31,5,16,72,1.20,1.04,w
h,84,65,53.4,70.0,50.0,60.3,1.24,16.1,3,19,5,37,4,19,75,1.13,0.88,w
a,84,81,44.3,56.5,42.9,50.7,1.04,22.9,2,23,7,43,12,20,96,0.88,0.86,w
a,80,76,39.3,87.5,30.8,46.4,1.12,13.3,5,22,6,30,8,13,75,1.06,0.99,w
a,75,71,52.0,100.0,57.1,60.0,1.31,21.8,3,21,7,30,2,13,64,1.17,1.08,w
a,74,78,49.1,100.0,42.9,57.5,1.25,24.6,1,20,7,30,0,13,69,1.07,1.20,l
a,71,60,45.6,69.6,27.3,48.2,1.05,19.5,4,17,6,37,4,17,77,0.92,0.80,w
a,69,63,51.1,77.3,36.4,55.3,1.20,18.9,8,17,6,29,2,13,63,1.09,0.96,w
h,69,64,48.9,54.8,33.3,55.3,1.12,16.5,3,16,6,33,4,17,67,1.03,0.90,w
n,66,77,54.9,40.0,37.5,60.8,1.18,28.5,2,22,3,31,6,15,74,0.90,1.05,l
a,65,80,40.0,75.0,27.3,42.7,0.98,13.2,2,19,7,25,2,12,68,0.95,1.19,l
h,65,58,45.5,87.0,35.7,51.1,1.18,20.3,7,13,4,25,6,16,64,1.02,0.92,w
h,62,68,54.2,43.8,21.4,57.3,1.12,21.7,2,16,5,27,3,15,65,0.96,1.06,l
a,62,68,43.1,72.7,33.3,46.6,0.98,16.1,5,24,6,28,5,12,68,0.91,1.03,l
h,61,59,40.0,72.4,28.6,44.4,1.04,18.5,0,15,6,28,7,14,65,0.94,0.91,w
h,61,68,38.7,70.0,37.5,43.5,0.91,10.3,4,13,6,20,10,15,68,0.90,1.15,l
h,61,47,45.1,66.7,41.2,52.0,1.08,15.3,2,14,7,33,5,15,59,1.04,0.80,w
h,61,63,39.7,66.7,33.3,44.0,0.94,18.7,2,11,13,33,3,14,64,0.95,1.02,l
h,60,65,41.8,55.6,30.8,45.5,0.94,19.5,8,15,14,32,5,13,62,0.98,0.99,l
a,59,53,34.0,80.0,33.3,39.0,0.95,20.4,5,20,11,33,9,8,64,0.92,0.81,w
a,59,62,44.9,76.5,15.4,46.9,1.03,22.9,0,18,10,35,4,8,61,0.97,1.07,l
a,58,55,43.8,75.0,33.3,47.9,1.04,21.3,3,18,4,34,9,11,66,0.88,0.78,w
a,56,75,34.5,68.4,35.7,39.1,0.87,22.8,1,14,10,33,7,11,70,0.80,1.10,l
a,55,61,40.4,100.0,29.4,44.7,0.93,15.0,2,12,8,31,8,4,60,0.92,1.10,l
a,52,58,29.6,77.3,18.8,32.4,0.81,22.4,3,19,16,40,3,5,62,0.83,0.95,l
h,51,63,32.7,63.2,20.0,35.5,0.80,26.0,5,21,7,32,6,12,77,0.66,0.84,l
h,44,54,30.2,60.0,0.0,30.2,0.65,11.2,2,12,12,32,6,9,63,0.70,0.85,l
a,89,80,44.8,69.2,47.6,53.4,1.16,11.8,6,23,9,35,3,19,77,1.16,1.03,w
h,83,72,44.3,82.8,33.3,48.4,1.11,8.0,2,13,17,40,4,13,63,1.32,1.08,w
a,79,51,58.0,76.2,71.4,63.0,1.32,23.5,7,18,8,36,11,12,68,1.16,0.73,w
h,79,36,51.7,66.7,33.3,57.5,1.18,10.7,4,9,17,46,5,17,56,1.41,0.64,w
a,76,65,53.1,70.4,38.5,58.2,1.23,11.5,4,28,8,32,4,13,61,1.25,1.06,w
h,76,27,59.6,72.7,54.5,65.4,1.33,16.6,5,20,7,42,6,21,60,1.26,0.43,w
a,75,64,51.8,66.7,41.7,56.2,1.16,12.0,7,13,6,19,9,18,67,1.13,0.98,w
h,75,55,47.4,83.3,37.5,52.6,1.14,18.6,6,10,13,44,3,12,65,1.16,0.89,w
a,74,57,68.3,75.0,54.5,75.6,1.52,26.8,1,9,5,31,4,18,60,1.24,0.92,w
h,70,54,50.0,75.0,45.5,55.7,1.22,10.8,6,13,8,31,4,14,55,1.27,0.94,w
a,70,34,50.0,69.2,35.7,54.5,1.13,17.4,8,12,10,42,8,15,63,1.11,0.52,w
h,69,57,51.1,71.4,46.2,57.4,1.21,10.7,7,17,7,28,3,14,56,1.23,1.02,w
h,67,39,43.4,64.7,47.6,52.8,1.10,16.4,11,11,10,36,9,19,61,1.10,0.68,w
a,66,51,42.9,85.7,33.3,49.0,1.12,14.6,3,18,12,33,2,12,55,1.20,0.92,w
h,65,42,50.0,50.0,47.6,60.0,1.19,7.2,5,17,3,23,4,14,56,1.17,0.81,w
n,64,56,47.8,77.3,42.9,51.1,1.13,20.5,4,23,10,33,8,11,58,1.10,0.88,w
h,63,69,41.3,80.0,23.1,43.7,0.93,11.2,1,11,12,30,4,11,63,1.00,1.17,l
a,62,56,49.0,87.5,45.5,53.9,1.13,14.6,3,12,8,33,2,9,55,1.13,0.97,w
h,61,51,41.1,90.0,30.0,46.4,1.00,15.3,4,10,11,36,5,13,59,1.04,0.83,w
h,61,60,45.3,68.8,16.7,47.2,1.01,13.9,2,14,5,29,5,10,65,0.94,0.96,w
h,61,49,42.6,72.7,38.5,47.9,1.06,12.0,4,14,6,27,5,11,58,1.04,0.87,w
h,59,42,42.1,62.5,11.1,43.0,0.91,13.4,9,11,13,38,4,9,60,0.99,0.73,w
a,59,47,46.2,62.5,35.3,51.9,1.06,31.8,0,12,15,37,9,13,60,0.99,0.79,w
h,57,28,45.3,66.7,55.6,50.0,1.02,7.4,3,12,6,33,4,13,54,1.06,0.51,w
a,57,59,47.7,58.3,40.0,56.8,1.15,23.8,2,12,8,26,8,12,55,1.04,1.08,l
h,52,47,33.3,72.7,14.3,35.3,0.85,3.7,4,13,9,31,8,9,54,0.96,0.82,w
h,51,41,43.9,51.9,9.1,45.1,0.95,19.4,3,9,8,31,11,9,57,0.90,0.67,w
a,51,47,37.3,61.1,18.2,39.2,0.86,19.1,6,15,13,39,2,10,58,0.89,0.81,w
a,50,47,34.7,83.3,33.3,40.8,0.91,21.2,3,13,10,31,5,12,57,0.88,0.81,w
n,45,26,32.7,77.8,12.5,34.5,0.76,12.2,1,9,9,37,7,10,57,0.79,0.47,w
a,84,67,46.9,79.5,50.0,54.1,1.24,17.3,1,17,10,33,3,10,70,1.21,0.91,w
a,79,67,46.2,75.0,58.3,52.9,1.18,22.8,2,24,13,31,6,12,70,1.13,0.95,w
h,76,60,57.1,90.0,22.2,59.2,1.30,19.3,4,12,4,28,10,7,68,1.13,0.00,w
h,71,83,42.6,71.4,33.3,47.2,1.05,12.4,0,21,11,24,3,8,64,1.10,1.31,l
h,71,49,48.3,52.9,42.9,53.4,1.07,11.1,1,16,10,28,11,14,63,1.13,0.78,w
h,70,59,46.3,57.1,47.1,53.7,1.09,12.5,3,12,8,30,7,13,64,1.09,0.90,w
a,67,60,50.0,75.0,50.0,55.0,1.16,24.8,2,18,9,34,9,10,65,1.04,0.81,w
h,67,50,42.9,73.7,33.3,46.4,1.12,27.5,2,21,10,28,13,6,69,0.97,0.73,w
a,66,75,41.7,81.5,50.0,45.8,1.09,22.8,2,31,10,27,9,8,66,1.00,1.15,l
h,65,59,40.0,78.6,27.3,43.0,1.03,16.6,3,17,8,31,8,8,66,0.98,0.86,w
h,65,58,49.0,55.0,30.8,52.9,1.07,15.3,2,10,5,29,8,10,66,0.99,0.91,w
h,64,72,41.7,66.7,28.6,45.8,1.03,25.7,2,23,13,28,6,4,66,0.97,1.09,l
h,63,57,52.1,69.2,36.4,56.2,1.16,19.2,3,10,8,23,6,4,57,1.10,1.08,w
h,62,84,40.7,66.7,30.8,44.4,0.97,15.4,1,19,9,27,9,11,65,0.95,1.29,l
a,62,66,44.9,73.3,50.0,52.0,1.10,16.0,2,22,9,25,6,12,56,1.11,1.14,l
a,61,63,45.7,75.0,52.6,56.5,1.18,20.1,3,15,4,23,8,11,60,1.02,1.03,l
h,59,52,44.4,77.3,18.2,46.7,1.06,17.9,0,18,5,28,6,8,61,0.96,0.92,w
a,59,62,39.6,56.5,30.8,43.4,0.92,21.2,2,25,12,28,9,9,66,0.90,0.94,l
a,58,78,41.7,63.6,26.7,45.8,0.99,19.0,8,20,3,22,5,6,68,0.85,1.09,l
a,56,73,44.9,66.7,26.7,49.0,1.02,16.5,3,17,4,21,4,9,61,0.92,1.16,l
h,56,59,40.7,69.2,25.0,43.5,0.93,22.0,3,24,14,36,5,11,59,0.95,0.98,l
a,55,67,39.3,69.2,22.2,41.1,0.88,16.4,3,20,6,28,2,6,67,0.82,1.07,l
n,55,48,37.7,75.0,27.3,40.6,0.91,10.2,2,19,8,30,11,7,59,0.94,0.79,w
a,54,55,35.1,66.7,33.3,40.4,0.86,14.6,0,18,10,34,6,10,62,0.88,0.94,l
h,52,59,39.2,50.0,43.8,46.1,0.93,18.7,2,17,8,25,3,9,59,0.89,1.09,l
h,52,56,46.2,77.8,16.7,48.7,1.09,26.5,2,14,6,19,11,9,57,0.92,0.99,l
a,51,74,35.4,72.7,16.7,36.5,0.87,25.2,1,20,11,28,5,6,63,0.80,1.16,l
h,50,53,33.3,68.8,30.8,38.9,0.98,24.9,3,18,6,25,8,5,60,0.83,0.90,l
n,46,53,35.8,60.0,18.2,37.7,0.80,21.1,1,21,9,30,4,6,62,0.75,0.90,l
a,46,52,33.3,53.8,30.8,38.1,0.85,15.8,0,18,1,25,5,8,63,0.73,0.85,l
n,45,56,34.0,83.3,27.3,37.2,0.85,28.5,3,14,10,31,5,5,60,0.75,0.94,l
a,44,63,33.3,75.0,0.0,33.3,0.79,24.8,3,17,10,30,5,6,61,0.73,1.02,l
a,39,55,29.5,69.2,26.7,34.1,0.78,26.3,3,18,11,29,5,6,53,0.73,1.04,l
h,93,82,52.2,92.9,34.8,58.0,1.23,22.9,3,8,15,44,7,19,79,1.18,1.02,w
h,87,67,49.3,68.8,31.6,53.5,1.11,16.8,7,15,14,42,11,22,78,1.12,0.90,w
h,87,84,45.5,69.6,37.9,53.8,1.13,15.7,10,25,7,29,13,19,83,1.05,0.96,w
a,84,61,57.8,37.5,33.3,63.3,1.24,16.0,4,16,10,32,10,22,69,1.22,0.88,w
h,83,72,54.1,66.7,33.3,58.2,1.19,18.2,3,12,11,34,9,20,72,1.16,1.01,w
h,82,60,53.8,63.6,38.5,57.7,1.17,23.1,10,16,7,35,11,15,82,1.00,0.76,w
a,81,78,50.0,54.5,42.9,56.8,1.14,18.6,2,18,10,31,7,16,75,1.08,1.08,w
a,79,61,51.9,94.4,61.5,59.6,1.30,23.0,1,15,7,34,6,17,70,1.14,0.88,w
a,79,70,45.9,88.9,50.0,51.6,1.14,14.0,7,9,8,31,9,15,72,1.10,0.99,w
a,79,75,46.9,56.5,40.0,51.6,1.05,24.4,2,15,16,40,6,13,78,1.01,0.97,w
h,77,81,43.9,65.2,23.5,47.0,1.00,19.8,8,19,16,41,3,12,76,1.01,1.07,l
h,76,67,42.6,73.1,38.5,46.7,1.04,10.2,9,10,12,40,4,16,68,1.11,0.97,w
h,75,59,55.0,87.5,22.2,56.7,1.18,25.4,8,13,11,38,12,25,71,1.06,0.80,w
a,75,71,43.3,73.9,30.0,48.3,1.06,19.8,9,11,10,39,5,16,76,0.99,0.89,w
a,74,73,46.4,77.8,53.3,53.6,1.15,30.2,6,20,9,40,9,15,80,0.93,0.91,w
a,73,55,53.2,77.8,47.4,62.8,1.31,20.8,9,16,6,36,3,18,63,1.17,0.81,w
h,73,63,43.3,66.7,29.4,47.5,1.02,14.0,6,16,10,35,5,17,71,1.02,0.86,w
n,72,58,49.2,83.3,37.5,51.5,1.06,18.9,2,14,12,29,8,16,69,1.05,0.91,w
h,71,60,50.0,60.5,40.0,54.5,1.14,18.2,5,15,8,38,5,12,66,1.08,0.92,w
h,71,47,47.8,72.4,46.2,54.3,1.19,28.5,11,16,7,41,8,17,74,0.96,0.62,w
h,70,63,40.0,77.8,29.4,44.5,1.03,19.8,9,9,7,35,8,14,76,0.92,0.82,w
h,69,64,36.6,65.2,10.5,38.0,0.84,15.9,6,21,13,46,8,14,82,0.84,0.81,w
h,69,71,47.5,62.5,30.0,50.0,1.04,12.2,5,12,9,31,6,13,66,1.05,1.09,l
a,67,73,37.7,52.4,17.4,40.6,0.85,19.0,6,24,15,38,6,10,79,0.85,0.98,l
a,67,74,36.4,56.5,27.3,40.9,0.87,23.5,6,18,15,44,11,12,81,0.83,0.95,l
h,64,58,45.8,78.9,35.7,51.0,1.12,20.3,13,13,6,31,7,13,64,1.00,0.89,w
h,64,67,39.1,63.6,30.4,44.5,0.92,22.5,11,14,14,37,9,17,71,0.90,0.97,l
h,63,78,40.4,75.0,33.3,47.9,1.08,17.4,3,13,6,23,4,15,63,0.99,1.25,l
a,62,68,42.6,80.0,33.3,50.0,1.06,19.2,3,22,4,23,8,17,68,0.92,1.01,l
n,61,70,39.2,64.0,31.2,44.1,0.97,21.1,4,22,3,35,5,11,76,0.80,0.97,l
n,61,64,37.7,70.0,7.7,38.5,0.87,19.5,2,13,17,37,7,13,67,0.92,0.94,l
h,104,68,60.3,70.8,29.4,64.0,1.31,14.7,1,19,10,39,11,27,81,1.28,0.00,w
a,90,85,61.0,52.2,46.2,66.1,1.29,20.0,1,17,14,46,2,19,70,1.29,1.17,w
h,86,75,56.1,66.7,30.8,59.6,1.23,16.5,4,22,9,27,9,16,73,1.18,1.02,w
a,85,91,44.8,78.3,23.3,50.0,1.09,12.7,3,27,9,32,4,19,79,1.08,1.19,l
h,84,73,44.4,73.1,36.0,51.6,1.11,21.0,3,18,15,35,14,13,76,1.10,0.96,w
h,84,75,46.9,66.7,27.3,51.6,1.09,16.5,4,16,11,38,5,15,79,1.07,0.99,w
a,83,66,55.9,60.0,53.3,62.7,1.26,6.8,8,14,11,37,0,15,59,1.40,1.06,w
a,81,82,52.5,73.7,35.7,56.8,1.19,13.4,1,15,10,31,4,12,67,1.21,1.21,l
a,81,82,39.8,39.1,25.0,43.4,0.86,19.1,8,28,22,53,11,16,89,0.91,0.89,l
h,81,68,55.1,73.3,45.5,60.2,1.28,20.8,3,17,6,39,5,18,72,1.12,0.93,w
h,80,76,43.8,78.3,26.1,48.4,1.07,20.3,4,15,16,35,14,19,74,1.08,1.03,w
h,78,77,44.8,66.7,42.9,50.0,1.08,30.4,4,21,15,48,10,15,82,0.95,0.91,w
a,78,79,51.5,60.0,26.7,54.5,1.10,13.9,6,19,9,34,3,8,72,1.09,1.12,l
a,76,79,46.0,84.6,38.9,51.6,1.10,23.6,4,22,11,31,14,18,76,1.00,1.04,l
h,75,66,45.0,83.3,42.9,50.0,1.09,18.5,6,14,7,41,4,19,76,0.99,0.87,w
h,73,60,52.8,75.0,33.3,54.7,1.17,14.6,6,14,4,32,5,13,69,1.07,0.86,w
a,72,79,40.3,56.5,33.3,47.6,0.99,16.5,4,25,12,30,10,16,73,0.99,1.06,l
h,71,77,41.1,65.7,15.4,42.9,0.98,16.1,0,15,10,34,7,13,75,0.95,1.09,l
n,71,53,58.8,55.6,12.5,59.8,1.19,24.4,3,16,7,31,9,18,70,1.02,0.77,w
h,71,73,44.6,77.3,36.4,48.2,1.07,19.0,2,19,11,30,4,14,68,1.04,1.07,l
h,71,62,44.6,78.3,27.3,47.3,1.06,15.5,2,18,7,29,7,11,71,1.00,0.90,w
a,71,70,47.5,52.4,30.8,50.8,1.03,12.9,3,24,8,25,11,13,70,1.02,1.01,w
h,68,77,36.9,58.6,23.1,39.2,0.86,14.9,1,27,16,39,2,6,74,0.92,1.14,l
a,65,85,44.8,34.8,26.3,49.1,0.94,15.7,2,13,10,28,5,15,70,0.93,1.19,l
h,64,70,51.0,63.6,43.8,58.2,1.18,23.0,5,16,4,18,9,16,65,0.98,1.12,l
a,64,75,43.1,48.5,21.1,47.1,0.96,17.4,3,20,5,28,4,16,75,0.86,1.07,l
a,62,71,41.8,62.5,50.0,47.3,0.99,22.2,3,17,10,33,5,12,68,0.92,1.09,l
a,62,55,47.3,50.0,50.0,52.7,1.05,26.9,1,15,10,33,5,12,67,0.93,0.81,w
a,54,79,27.3,67.7,17.6,30.0,0.77,23.8,3,18,12,38,5,10,76,0.71,1.11,l
h,54,57,35.3,66.7,25.0,39.2,0.89,19.4,6,14,11,39,2,8,62,0.87,0.96,l
a,48,106,25.4,66.7,25.0,29.9,0.66,27.1,2,16,19,38,1,9,74,0.65,1.40,l
a,13,76,60.0,100.0,0.0,60.0,1.24,9.5,1,2,1,4,2,0,10,1.24,0.00,l
h,124,42,52.4,70.8,45.7,65.2,1.33,14.2,6,18,15,51,16,24,91,1.36,0.00,w
h,120,62,54.4,52.6,27.3,61.1,1.21,10.6,14,15,23,58,20,27,85,1.41,0.00,w
a,113,111,45.9,78.1,43.5,59.5,1.27,19.1,6,30,13,36,11,18,94,1.20,1.17,w
h,93,59,53.2,75.0,53.3,72.6,1.46,13.5,9,14,6,24,7,21,67,1.39,0.93,w
h,93,110,47.0,78.3,44.8,56.8,1.21,25.3,7,18,9,25,5,19,91,1.02,1.23,l
h,92,77,40.0,72.2,34.5,52.7,1.10,14.7,3,24,14,42,8,24,82,1.13,0.93,w
a,88,98,35.5,68.6,22.2,42.1,0.95,17.5,4,28,22,44,11,15,86,1.03,1.13,l
a,88,66,40.0,71.4,28.0,45.0,1.02,12.6,8,17,17,45,10,10,80,1.11,0.78,w
n,86,92,44.0,73.3,37.5,50.0,1.05,18.0,4,26,14,33,10,14,83,1.04,1.15,l
h,85,75,43.1,64.1,35.7,51.7,1.11,19.4,6,28,10,30,15,9,83,1.03,0.92,w
h,85,79,35.1,59.5,22.0,40.9,0.90,19.2,10,26,19,51,14,14,94,0.91,0.87,w
n,84,69,43.7,77.8,36.6,54.2,1.12,11.5,2,16,14,33,9,13,69,1.21,1.07,w
a,83,73,44.1,67.9,37.5,54.2,1.15,13.5,4,22,8,33,6,11,74,1.12,0.97,w
h,82,86,39.7,75.9,25.0,44.1,1.00,8.6,11,16,7,33,4,10,82,1.00,1.02,l
a,81,90,37.1,80.0,38.6,49.3,1.05,12.5,4,26,7,25,3,18,80,1.01,1.17,l
a,77,95,39.5,55.6,28.6,47.4,0.96,20.6,3,23,11,29,6,12,87,0.88,1.10,l
h,75,85,37.5,71.4,34.3,46.9,1.01,18.0,2,25,10,25,8,11,78,0.96,1.18,l
a,74,87,32.9,81.8,25.6,40.0,0.92,18.4,12,22,14,37,9,8,81,0.91,1.08,l
a,72,103,44.8,90.0,35.5,54.3,1.15,41.3,4,20,13,40,3,17,85,0.85,1.19,l
h,70,85,33.8,58.8,25.5,42.3,0.89,16.7,6,20,9,26,16,16,84,0.83,1.00,l
a,70,75,41.3,77.8,18.2,44.4,0.98,18.2,8,20,13,31,4,5,72,0.98,1.08,l
h,69,80,47.3,50.0,25.9,53.6,1.07,26.7,4,18,4,27,11,8,83,0.84,0.97,l
a,66,84,35.9,81.2,21.2,41.4,0.92,17.7,2,24,11,24,7,7,74,0.90,1.14,l
n,66,65,44.8,75.0,37.9,54.3,1.10,21.0,4,18,11,25,3,12,62,1.07,1.08,w
a,64,86,30.9,60.0,28.0,36.0,0.80,24.5,2,20,12,38,4,13,90,0.71,1.07,l
a,63,75,30.7,50.0,22.5,36.7,0.76,15.9,4,21,14,34,9,9,82,0.77,0.97,l
h,62,65,37.1,75.0,41.7,45.2,0.94,21.8,8,19,12,36,7,12,69,0.90,0.91,l
n,61,89,37.9,58.8,25.9,44.0,0.92,18.9,6,22,6,31,1,7,74,0.82,1.22,l
a,60,80,29.6,71.4,22.2,35.2,0.77,20.1,8,26,14,42,5,12,80,0.75,1.00,l
h,56,85,22.2,61.5,21.1,27.8,0.66,16.4,6,17,13,37,11,12,85,0.66,0.96,l
a,93,92,53.4,76.2,57.7,66.4,1.37,19.5,6,32,6,27,6,16,77,1.21,1.18,w
